movieID,rating,numberOfRatings
1,3.9191918,198
2,3.460674,89
3,3.24,50
4,2.3636363,11
4,2.3636363,11
5,3.152174,46
6,3.9222221,90
7,3.3829787,47
8,3.8,5
9,3.15,20
10,3.4791667,96
10,3.4791667,96
11,3.7761195,67
12,2.8235295,17
13,4.0,5
13,4.0,5
14,3.4827585,29
14,3.4827585,29
15,2.3,10
15,2.3,10
16,4.0,67
17,3.9240506,79
18,3.4761906,21
19,2.6944444,72
19,2.6944444,72
20,2.8888888,9
21,3.5679011,81
21,3.5679011,81
22,3.4848485,33
23,3.0,18
23,3.0,18
23,3.0,18
24,3.2,25
25,3.7472527,91
26,4.25,4
27,3.142857,7
28,4.0588236,17
28,4.0588236,17
29,4.0588236,34
30,4.0,9
30,4.0,9
31,3.310345,29
32,3.919753,162
34,3.669355,124
35,3.5454545,11
36,3.9157894,95
37,2.0,2
38,2.0,2
39,3.55,100
40,3.8,5
41,4.0,22
42,2.3333333,9
43,3.8181818,11
44,2.878788,33
44,2.878788,33
45,3.6052632,38
46,3.1666667,12
47,4.147651,149
48,2.875,48
49,4.0,2
50,4.445783,166
52,3.673913,46
53,5.0,1
54,3.6666667,3
55,3.3333333,6
57,3.142857,14
58,4.1282053,39
59,4.0,2
60,2.8148148,27
61,3.5714285,7
62,3.7538462,65
63,3.25,4
64,2.4,10
65,2.2941177,17
66,2.0,5
68,3.5,8
68,3.5,8
69,3.875,16
70,3.0277777,36
71,3.0,5
72,4.0,4
73,4.0833335,12
74,3.1111112,18
76,3.3076923,13
77,4.0,2
78,3.2,10
79,2.9615386,26
80,4.6666665,3
81,3.2941177,17
82,3.8,10
83,3.0,3
84,4.0,1
85,4.0625,16
86,3.764706,17
87,1.6666666,3
88,3.0,18
89,3.4375,16
92,3.5454545,11
93,2.3,10
94,3.4705882,17
94,3.4705882,17
95,3.207317,82
96,1.0,1
97,3.8333333,6
98,3.0,1
99,2.75,4
100,3.4285715,21
101,3.909091,11
102,2.8,10
103,4.0,4
104,3.2739725,73
105,3.1707318,41
107,3.4615386,26
108,4.0,1
110,4.042781,187
111,4.368421,95
112,3.3863637,44
113,3.2,5
114,3.0,1
116,4.8,5
117,3.0,6
118,2.8,5
119,3.0,1
121,3.8,5
122,3.2,15
123,4.0,7
124,3.0,1
124,3.0,1
125,3.6842105,19
126,2.7,10
129,3.0,1
129,3.0,1
131,2.0,1
132,2.875,8
135,3.1304348,23
137,1.0,1
140,3.4782608,23
141,3.6024096,83
144,3.4,25
144,3.4,25
145,3.0344827,29
146,4.3333335,3
147,3.4375,16
148,4.0,1
149,4.3333335,6
150,3.9333334,165
151,3.7142856,42
152,4.0,2
153,2.8695652,115
154,3.8125,16
154,3.8125,16
155,2.875,8
156,4.1,10
157,2.375,8
158,3.0,49
159,3.857143,7
159,3.857143,7
160,2.4444444,54
161,3.8219178,73
162,4.2,30
163,3.6190476,42
164,3.52,25
165,3.4642856,112
166,3.0,4
167,4.0,1
168,3.1794872,39
169,3.2,5
169,3.2,5
170,3.3043478,23
171,4.3333335,6
172,2.5405405,37
173,2.6842105,57
174,2.25,4
175,3.8947368,19
176,4.0,16
177,3.0833333,12
178,5.0,4
179,3.5,6
180,3.2580645,31
181,1.8,15
183,5.0,1
